2025-02-17 20:24:30,846 - Epoch [50/100], Train Loss: 0.2226, Train Accuracy: 93.21%, Test Accuracy: 64.85%
2025-02-17 20:24:31,499 - Epoch [51/100], Train Loss: 0.2084, Train Accuracy: 95.80%, Test Accuracy: 62.80%
2025-02-17 20:24:32,078 - Epoch [52/100], Train Loss: 0.1992, Train Accuracy: 97.25%, Test Accuracy: 62.97%
2025-02-17 20:24:32,578 - Epoch [53/100], Train Loss: 0.1926, Train Accuracy: 95.64%, Test Accuracy: 60.41%
2025-02-17 20:24:33,182 - Epoch [54/100], Train Loss: 0.1765, Train Accuracy: 96.45%, Test Accuracy: 63.14%
2025-02-17 20:24:34,723 - Epoch [55/100], Train Loss: 0.1700, Train Accuracy: 96.28%, Test Accuracy: 60.41%
2025-02-17 20:24:35,610 - Epoch [56/100], Train Loss: 0.1601, Train Accuracy: 98.38%, Test Accuracy: 61.60%
2025-02-17 20:24:36,120 - Epoch [57/100], Train Loss: 0.1487, Train Accuracy: 98.22%, Test Accuracy: 62.12%
2025-02-17 20:24:36,711 - Epoch [58/100], Train Loss: 0.1360, Train Accuracy: 98.55%, Test Accuracy: 62.46%
2025-02-17 20:24:37,162 - Epoch [59/100], Train Loss: 0.1262, Train Accuracy: 98.22%, Test Accuracy: 60.92%
2025-02-17 20:24:37,656 - Epoch [60/100], Train Loss: 0.1255, Train Accuracy: 97.90%, Test Accuracy: 63.65%
2025-02-17 20:24:38,085 - Epoch [61/100], Train Loss: 0.1261, Train Accuracy: 98.22%, Test Accuracy: 61.77%
2025-02-17 20:24:38,512 - Epoch [62/100], Train Loss: 0.1161, Train Accuracy: 99.03%, Test Accuracy: 60.92%
2025-02-17 20:24:39,115 - Epoch [63/100], Train Loss: 0.1052, Train Accuracy: 99.35%, Test Accuracy: 60.92%
2025-02-17 20:24:39,655 - Epoch [64/100], Train Loss: 0.1007, Train Accuracy: 99.35%, Test Accuracy: 62.12%
2025-02-17 20:24:40,084 - Epoch [65/100], Train Loss: 0.1048, Train Accuracy: 99.84%, Test Accuracy: 61.77%
2025-02-17 20:24:41,457 - Epoch [66/100], Train Loss: 0.0856, Train Accuracy: 99.19%, Test Accuracy: 64.16%
2025-02-17 20:24:42,106 - Epoch [67/100], Train Loss: 0.0860, Train Accuracy: 99.35%, Test Accuracy: 62.29%
2025-02-17 20:24:42,656 - Epoch [68/100], Train Loss: 0.0914, Train Accuracy: 99.35%, Test Accuracy: 61.09%
2025-02-17 20:24:43,187 - Epoch [69/100], Train Loss: 0.0855, Train Accuracy: 99.84%, Test Accuracy: 61.60%
2025-02-17 20:24:43,689 - Epoch [70/100], Train Loss: 0.0719, Train Accuracy: 99.03%, Test Accuracy: 62.80%
2025-02-17 20:24:44,206 - Epoch [71/100], Train Loss: 0.0705, Train Accuracy: 99.52%, Test Accuracy: 61.26%
2025-02-17 20:24:44,655 - Epoch [72/100], Train Loss: 0.0720, Train Accuracy: 99.35%, Test Accuracy: 62.46%
2025-02-17 20:24:45,124 - Epoch [73/100], Train Loss: 0.0673, Train Accuracy: 98.87%, Test Accuracy: 66.04%
2025-02-17 20:24:45,660 - Epoch [74/100], Train Loss: 0.0755, Train Accuracy: 98.38%, Test Accuracy: 58.87%
2025-02-17 20:24:46,134 - Epoch [75/100], Train Loss: 0.0883, Train Accuracy: 98.71%, Test Accuracy: 60.41%
2025-02-17 20:24:46,635 - Epoch [76/100], Train Loss: 0.0924, Train Accuracy: 98.71%, Test Accuracy: 63.99%
2025-02-17 20:24:47,229 - Epoch [77/100], Train Loss: 0.0640, Train Accuracy: 99.84%, Test Accuracy: 61.26%
2025-02-17 20:24:47,791 - Epoch [78/100], Train Loss: 0.0541, Train Accuracy: 99.35%, Test Accuracy: 61.77%
2025-02-17 20:24:48,305 - Epoch [79/100], Train Loss: 0.0571, Train Accuracy: 100.00%, Test Accuracy: 63.14%
2025-02-17 20:24:48,894 - Epoch [80/100], Train Loss: 0.0496, Train Accuracy: 99.84%, Test Accuracy: 62.63%
