x,y,z,time,activity
-0.6442413330078125,0.3840789794921875,-0.107513427734375,3000,walk
-0.6324615478515625,0.3846588134765625,-0.1064300537109375,3010,walk
-0.6225433349609375,0.3809814453125,-0.103973388671875,3020,walk
-0.61572265625,0.376861572265625,-0.1008453369140625,3030,walk
-0.6023406982421875,0.36517333984375,-0.0981292724609375,3040,walk
-0.590667724609375,0.3614959716796875,-0.0947265625,3050,walk
-0.585540771484375,0.3610382080078125,-0.09490966796875,3060,walk
-0.5760955810546875,0.356170654296875,-0.0927886962890625,3070,walk
-0.569122314453125,0.359344482421875,-0.08953857421875,3080,walk
-0.567047119140625,0.3591461181640625,-0.0907135009765625,3090,walk
-0.571380615234375,0.368804931640625,-0.086334228515625,3100,walk
-0.5799407958984375,0.380279541015625,-0.0868988037109375,3110,walk
-0.591796875,0.39447021484375,-0.0858612060546875,3120,walk
-0.6070098876953125,0.41162109375,-0.0810089111328125,3130,walk
-0.62054443359375,0.4244384765625,-0.0806732177734375,3140,walk
-0.6287384033203125,0.428924560546875,-0.083526611328125,3150,walk
-0.6339263916015625,0.4256439208984375,-0.0815582275390625,3160,walk
-0.63671875,0.4186248779296875,-0.0740814208984375,3170,walk
-0.652252197265625,0.4141387939453125,-0.06396484375,3180,walk
-0.691986083984375,0.4181365966796875,-0.051025390625,3190,walk
-0.75079345703125,0.442291259765625,-0.0392303466796875,3200,walk
-0.8260955810546875,0.48089599609375,-0.0276336669921875,3210,walk
-0.90380859375,0.51800537109375,-0.009002685546875,3220,walk
-0.9731597900390625,0.5378265380859375,0.0115966796875,3230,walk
-1.043548583984375,0.53375244140625,0.0354766845703125,3240,walk
-1.1009674072265625,0.505889892578125,0.0548095703125,3250,walk
-1.148651123046875,0.473724365234375,0.07958984375,3260,walk
-1.1932525634765625,0.45709228515625,0.10943603515625,3270,walk
-1.1883392333984375,0.4229736328125,0.14306640625,3280,walk
-1.2419281005859375,0.4231414794921875,0.1403656005859375,3290,walk
-1.2341766357421875,0.4436187744140625,0.12982177734375,3300,walk
-1.2293701171875,0.4271392822265625,0.145416259765625,3310,walk
-1.2275848388671875,0.441650390625,0.1349029541015625,3320,walk
-1.2472991943359375,0.48297119140625,0.0984954833984375,3330,walk
-1.28173828125,0.5267333984375,0.07012939453125,3340,walk
-1.3287353515625,0.5740509033203125,0.033599853515625,3350,walk
-1.3808441162109375,0.6157073974609375,-0.0142974853515625,3360,walk
-1.428253173828125,0.6473236083984375,-0.0565185546875,3370,walk
-1.4693756103515625,0.6682586669921875,-0.08990478515625,3380,walk
-1.4886932373046875,0.6763916015625,-0.1265869140625,3390,walk
-1.485626220703125,0.6735076904296875,-0.150238037109375,3400,walk
-1.47113037109375,0.662933349609375,-0.1616363525390625,3410,walk
-1.4504241943359375,0.64813232421875,-0.1641693115234375,3420,walk
-1.4226226806640625,0.6271514892578125,-0.1656646728515625,3430,walk
-1.394500732421875,0.6089019775390625,-0.163818359375,3440,walk
-1.3672332763671875,0.5857696533203125,-0.16864013671875,3450,walk
-1.3359527587890625,0.5634918212890625,-0.1745452880859375,3460,walk
-1.298980712890625,0.5483245849609375,-0.1771697998046875,3470,walk
-1.2653045654296875,0.5308685302734375,-0.1805877685546875,3480,walk
-1.2314605712890625,0.5149993896484375,-0.181884765625,3490,walk
-1.202056884765625,0.5006103515625,-0.1783599853515625,3500,walk
-1.1785125732421875,0.48114013671875,-0.1732635498046875,3510,walk
-1.1623992919921875,0.4656219482421875,-0.16680908203125,3520,walk
-1.1476287841796875,0.4502105712890625,-0.1610260009765625,3530,walk
-1.1394805908203125,0.43670654296875,-0.156768798828125,3540,walk
-1.134124755859375,0.417938232421875,-0.1545867919921875,3550,walk
-1.132476806640625,0.3923492431640625,-0.156829833984375,3560,walk
-1.1314544677734375,0.368988037109375,-0.1665802001953125,3570,walk
-1.1320037841796875,0.34136962890625,-0.18231201171875,3580,walk
